gene_id	gene_id_clean	stability_score	direction	in_NAT	in_GTEx_All	in_Transverse	in_Sigmoid	log2FC_NAT	log2FC_GTEx_All	log2FC_Transverse	log2FC_Sigmoid	padj_NAT	padj_GTEx_All	padj_Transverse	padj_Sigmoid	lasso_coef	rf_importance
ENSG00000279473.1	ENSG00000279473	3	Up	False	True	True	True	0.3648501890433904	11.574029361917852	11.590522569392324	11.554494853774392	0.0230326011230319	0.0	1.4055198155327827e-306	0.0	0.9170107299945662	0.0637507033620205
ENSG00000062038.13	ENSG00000062038	3	Up	False	True	True	True	6.361035272150295	7.374644438185936	7.624438867723802	7.078788624477967	3.4813426014639145e-33	2.7134772532731403e-264	9.047583048544836e-128	2.2297413127990997e-136	0.5245498724384139	0.0436175022639076
ENSG00000175832.12	ENSG00000175832	3	Up	True	True	False	True	5.345197661754297	6.425234360482462	6.4653561379844975	6.377714241029696	5.284077635737636e-44	4.3746812274996755e-246	1.1239946585955948e-125	1.6020720018872944e-128	0.417237486425783	0.0331256470769389
ENSG00000163347.5	ENSG00000163347	3	Up	True	True	True	False	4.843430087036166	6.05229815577854	5.96199144360162	6.15925716949163	1.4191877801091406e-41	5.602986952098885e-233	4.240923070603063e-128	1.7283649618738144e-125	0.2237700380920554	0.0260466366233502
ENSG00000167767.13	ENSG00000167767	3	Up	False	True	True	True	7.144942977376675	6.908250989553869	7.0420314651559845	6.749801773769808	5.3433345084453e-32	1.1307226878968e-246	2.7673989694330276e-148	4.059777690932059e-109	0.2532789232230916	0.0129752467974358
ENSG00000235734.4	ENSG00000235734	3	Up	False	True	True	True	0.3148226812183377	9.826664343176503	9.519479268990242	10.190493473595604	0.0081621356740696	1.3523698408727826e-183	6.533285907452686e-87	6.600021854490935e-96	0.304102684772113	0.0128023065497914
